qa194.tsp,100,10,1,Truncation,0.0,0.0
qa194.tsp,500,10,1,Truncation,0.0,1.0
qa194.tsp,1000,10,1,Truncation,0.0,2.0
qa194.tsp,10000,10,1,Truncation,0.0,21.666666666666668
qa194.tsp,50000,10,1,Truncation,0.0,104.66666666666667
qa194.tsp,100000,10,1,Truncation,0.0,212.33333333333334
qa194.tsp,100,100,10,Truncation,0.0,2.0
qa194.tsp,500,100,10,Truncation,0.0,11.000000000000002
qa194.tsp,1000,100,10,Truncation,0.0,22.000000000000004
qa194.tsp,10000,100,10,Truncation,0.0,214.33333333333334
qa194.tsp,50000,100,10,Truncation,0.3333333333333333,1070.0
qa194.tsp,100000,100,10,Truncation,0.0,2144.3333333333335
qa194.tsp,100,200,20,Truncation,1.0,5.0
qa194.tsp,500,200,20,Truncation,1.0,23.000000000000004
qa194.tsp,1000,200,20,Truncation,1.0,46.00000000000001
qa194.tsp,10000,200,20,Truncation,1.0,452.3333333333333
qa194.tsp,50000,200,20,Truncation,1.0,2249.3333333333335
qa194.tsp,100000,200,20,Truncation,1.0,4519.333333333333
qa194.tsp,100,500,50,Truncation,1.0,13.0
qa194.tsp,500,500,50,Truncation,1.0,64.0
qa194.tsp,1000,500,50,Truncation,1.0,127.33333333333333
qa194.tsp,10000,500,50,Truncation,1.0,1267.0000000000002
qa194.tsp,50000,500,50,Truncation,1.0,6328.666666666666
qa194.tsp,100000,500,50,Truncation,1.0,12632.666666666668
qa194.tsp,100,1000,100,Truncation,1.6666666666666667,33.66666666666667
qa194.tsp,500,1000,100,Truncation,1.3333333333333333,165.33333333333334
qa194.tsp,1000,1000,100,Truncation,1.3333333333333333,331.3333333333333
qa194.tsp,10000,1000,100,Truncation,1.6666666666666667,3308.333333333333
